"ПРАЙС-ЛИСТ"
"","","","","","","","","","","",""
"Наши реквизиты:","","","","","","","","","",""
"","","","","","","","","","","22.08.2014"
"","","","","","","","","","","",""
"Магазин ТОВ «Экспансия»
г.Киев, Заболотного ул, 37
р/с р/р  26001030119536 ПАТ &quot;Банк Восток&quot; 
МФО МФО 307123
Тел.:
E-mail:","ТОВ «Экспансия»
г. Киев, ул. Заболотного, 37
р/с р/р  26001030119536 ПАТ &quot;Банк Восток&quot; 
МФО МФО 307123, код ОКПО Код ЄДРПОУ 32294905
свид-во № Св.пл.ПДВ 13842174
идентификационный код НДС № ІПН 322949010132"
"","","","","","","","","","","",""
"Артикул","Наименование","Ед. изм","Расф","Цена опт","Цена розн","Артикул","Наименование","Ед. изм","Расф","Цена опт","Цена розн"
"01 Кондитерские изделия",24205,"Конфеты Haribo Золотой Мишка","45г",30,6.03,6.49
"","","","","","",24855,"Орешки Козацька Розвага соленые к пиву ж/б","125г",15,11.06,13.13
34,"Батончик Mars Мастер Фуд","50г",36,4.13,4.37,28073,"Конфеты Haribo Золотой Мишка","100г",30,11.68,12.56
36,"Батончик Bounty Мастер Фуд","55г",32,4.13,4.37,28906,"Заменитель Milford сахара","650таб",20,18.94,20.71
552680,"Бальзам Pantene PRO-V Nature Fusion Oil Therapy","200мл",6,35.88,37.72,570694,"Бальзам-ополаскиватель Pantene Aqua Light Увлажнен","600мл",6,64.44,65.55
552682,"Бальзам Pantene PRO-V Nature Fusion Oil Therapy","360мл",6,49.9,49.9,570695,"Масло Pantene Восстановление кератина с витамин Е","100мл",6,53.45,56.19
552686,"Шампунь Pantene PRO-V Nature Fusion Oil Therapy","400мл",6,47.49,47.49,570696,"Шампунь Pantene Густые и крепкие","600мл",6,64.99,68.33
552688,"Кондиционер SHAMTU с экст.зверобоя д/тусклых волос","380мл",6,24.64,25.9,570697,"Шампунь Pantene Защита цвета и блеск","600мл",6,64.99,68.33
"","","","","","","","","","","",""
"","","","","","","","","страница 214 из 216"
"Артикул","Наименование","Ед. изм","Расф","Цена опт","Цена розн","Артикул","Наименование","Ед. изм","Расф","Цена опт","Цена розн"
577592,"Дезодорант-спрей Old Spice Lionpride","125мл",6,32.43,34.1,447180,"Салат Weekend","150г",4,21.58,21.58
577593,"Дезодорант-спрей Old Spice Блокатор запаха","125мл",6,35.69,37.52,447182,"Салат Active","180г",4,21.58,21.58
577595,"Дезодорант-спрей Old Spice Защита от пота","125мл",6,35.69,37.52,447185,"Салат Party","180г",4,21.58,21.58
"75 Зелень-грибы",447187,"Салат Family","230г",2,21.58,21.58
"","","","","","",451142,"Грибы шампиньоны ДінБо резанные фасованные","400г",2,14.88,14.88
336,"Мята пучек","шт",3,6.68,6.68,451147,"Грибы шампиньоны ДінБо для фарширования","400г",8,15.78,15.78
353350,"Лук зелёный пучек","500г",2,31.58,31.58,577095,"Кинза","50г",2,3.98,3.98
353351,"Лук зелёный пучек","100г",3,6.98,6.98,583196,"Грибы шампиньоны ЕкоМашПрод высшего сорта нарезан","250г",10,8.88,8.88
"","","","","","","","","","","",""
"","","","","","","","","страница 215 из 216"
"Артикул","Наименование","Ед. изм","Расф","Цена опт","Цена розн","","","","","",""
583225,"Набор трав Средиземноморский для мясных блюд","100г",2,11.38,11.38,"","","","","",""
583227,"Набор трав Классический для мясных блюд","100г",2,11.38,11.38,"","","","","",""
"76 Мясо Кролик","","","","","",""
452853,"Кролик охлажденный в/у","кг",8,76.99,76.99,"","","","","",""
"77 Хлеб Полуфабрикат","","","","","",""
368027,"Булочка с шоколадом Panavi","75г",560,4.35,4.94,"","","","","",""
437495,"Круассан Panavi","50г",100,4.35,4.94,"","","","","",""
488105,"Пончик Panavi сахарный","49г",36,5.23,5.94,"","","","","",""
488106,"Пончик Panavi ванильный","58г",36,7.52,8.54,"","","","","",""
488107,"Пончик Panavi шоколадный","55г",36,5.76,6.54,"","","","","",""
488108,"Пончик Panavi розовый","58г",36,7.52,8.54,"","","","","",""
488109,"Пончик Panavi Парти","58г",36,7.52,8.54,"","","","","",""
"78 Подар. сертификат","","","","","",""
477660,"Сертификат подарочный 50грн","шт",1,50,50,"","","","","",""
"81 Мясо-заморозка","","","","","",""
443462,"Свиное сало РЦ","кг",16,17,17,"","","","","",""
443462,"Свиное сало РЦ","кг",16,17,17,"","","","","",""
469496,"Утка пекинская с/м","кг",15.6,49.5,49.5,"","","","","",""
552189,"Утка замороженная","кг",16,36.9,36.9,"","","","","",""
